tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.7,0.13,0.19,18.258308018150963,51.518918946157186,0.7517347438134625,54.65862073878548,9.019026123865311,35.737280348711806,0.7099985260231909,36.857781253697134,45.75820099624131,False,False,True
0.7,0.13,0.21,17.971249215709882,51.04664987605618,0.7562655299160981,54.11770747123181,8.237558539644713,35.4502774229903,0.7146377744052708,36.394773526717394,45.256240498974606,False,False,True
0.7,0.15,0.11,18.367520575496748,51.51635061135295,0.7517594963671878,54.69278007564748,9.25888685050609,36.15989566277818,0.703099079230004,37.3264656785702,46.00962287710884,False,False,True
0.7,0.15,0.13,18.160580978099492,51.378256010348764,0.7530885783596926,54.49341145612971,9.041455934309981,36.62864958336938,0.6953515154547434,37.728051840949,46.11073164853936,False,False,True
0.7,0.15,0.15,18.38485049125936,51.44277328151331,0.7524680803392744,54.629311275899674,9.506096261695145,36.00220963059056,0.705682883594095,37.23607074358951,45.93269100974459,False,False,True
0.7,0.15,0.17,18.219993160433052,51.541152320267805,0.7515204161263795,54.666795527699215,8.844352557677546,36.80889851389129,0.6923457985624852,37.85653948752376,46.26166750761149,False,False,True
0.7,0.15,0.19,18.2144174428293,51.365622176871284,0.7532099937012957,54.499469212082566,8.637882660876619,36.15971524576621,0.7031020419511271,37.17711693391474,45.83829307299865,False,False,True
0.7,0.15,0.21,18.08558503611352,51.09959031475761,0.7557597141235988,54.205687122612545,8.619679501378714,36.116281350230054,0.703814862282529,37.130643049581884,45.66816508609722,False,False,True
0.7,0.17,0.11,18.136429350834966,51.34300016766795,0.7534273241325748,54.45212333614714,9.09722900380005,36.07700205647607,0.7044587611658959,37.206312003886644,45.82921767001689,False,False,True
0.7,0.17,0.13,18.198395852675294,51.22834681547324,0.7545273307021809,54.364741598365725,9.32032439827889,36.23560622727716,0.7018544921890085,37.41507190354497,45.88990675095535,False,False,True
0.7,0.17,0.15,18.025965168836535,51.32498690119186,0.7536003097452565,54.39843472633771,8.883332183603502,36.13701731425338,0.7034746585163936,37.21286889041067,45.80565180837419,False,False,True
0.7,0.17,0.17,17.921885032438066,51.004253916187636,0.756670221144107,54.06133443287235,8.604350741173706,35.975351881559455,0.7061218425839287,36.99000939009289,45.52567191148262,False,False,True
0.7,0.17,0.19,17.93923930623317,51.08335845414751,0.7559148560568604,54.14171975326629,9.04315017795596,36.55353817344212,0.6965996704231086,37.655540337888596,45.89863004557744,False,False,True
0.7,0.17,0.21,17.774888594084715,50.95965084650529,0.757095617407334,53.970664985062484,8.436381404164385,36.08779851397815,0.704281846473165,37.06078429798827,45.51572464152538,False,False,True
0.7,0.19,0.11,18.176737221605944,51.48961537526596,0.7520170862881947,54.60379352678841,9.68830121540753,35.7520363901337,0.709758991442842,37.04148061946109,45.82263707312475,False,False,True
0.7,0.19,0.13,18.167861852938945,51.323393957598405,0.7536156042339961,54.44411787910906,9.276164083870526,36.13924555340674,0.7034380893806136,37.310752998034204,45.87743543857163,False,False,True
0.7,0.19,0.15,17.5983812982693,51.1464260505913,0.7553117881902801,54.089369769557116,9.172059382687628,36.025229258389786,0.7053063935665792,37.17450492527226,45.63193734741469,False,False,True
0.7,0.19,0.17,17.992722931753157,51.23254198861209,0.754487124738936,54.300197394795326,9.204268407796762,36.00256970259372,0.7056769964063527,37.160511058284506,45.730354226539916,False,False,True
0.7,0.19,0.19,17.68854248363554,51.22663105898426,0.754543773328125,54.19457781779161,8.640597102432126,36.56014993121022,0.6964899031607092,37.56733263460595,45.88095522619878,False,False,True
0.7,0.19,0.21,17.67707773664435,51.30905897468075,0.7537532187831417,54.26876274777816,8.548225788918927,34.98443134115662,0.7220882908456487,36.013644642030336,45.14120369490425,False,False,True
0.7,0.21,0.11,18.134137584926176,51.02365192921246,0.7564850988675326,54.15034627906324,8.990330866907017,36.22467479975791,0.7020343519867525,37.32362674559745,45.73698651233035,False,False,True
0.7,0.21,0.13,17.98055419213198,51.67774315774258,0.750201663801063,54.716446037126765,9.137775701079885,36.526862150917545,0.69704233951561,37.6524979696617,46.184472003394234,False,False,True
0.7,0.21,0.15,17.671973460425473,51.04824751349142,0.7562502730713007,54.020572194161964,8.713982649701226,36.19489544493738,0.7025240501045633,37.22907398645906,45.624823090310514,False,False,True
0.7,0.21,0.17,17.961447802272936,51.190078823013465,0.7548939338911965,54.249772138324296,8.90807798761374,36.11354481663053,0.7038597445264443,37.19599404043653,45.72288308938042,False,False,True
