tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.68,0.21,0.21,20.585859169566998,53.22686171016737,0.7350010309086925,57.069049451191376,11.120625379572358,36.37005940759388,0.6996378336521134,38.03221700275566,47.55063322697352,False,False,True
0.7,0.09,0.11,18.85675636544765,51.52207586868334,0.7517043170029322,54.864392482230336,10.440437169833967,35.91994870950748,0.7070263087830769,37.40648932459312,46.13544090341173,False,False,True
0.7,0.09,0.13,18.852317791643056,51.5407238743653,0.7515245471794232,54.88037995140586,10.176927083113213,36.1454254223683,0.7033366555838065,37.55078725964333,46.21558360552459,False,False,True
0.7,0.09,0.15,18.9462198627116,51.56832987757154,0.7512583013592153,54.938619326010055,10.18844274243774,35.78553011819263,0.7092149213424963,37.20764076578901,46.07313004589953,False,False,True
0.7,0.09,0.17,18.891262684300944,51.32884440885243,0.7535632703042845,54.694881608386744,10.574628132476601,35.78212618294605,0.7092702379187439,37.311972801132335,46.00342720475954,False,False,True
0.7,0.09,0.19,18.537394516053926,51.575959857501616,0.7511846889471854,54.80615504363031,9.410614184167502,35.79332176889996,0.7090882811941785,37.009749290899855,45.90795216726508,False,False,True
0.7,0.09,0.21,18.69353127512405,51.7506634331171,0.7494962067197752,55.02344297935021,9.554352139413421,36.24949710188382,0.7016258609550032,37.4874870449247,46.25546501213745,False,False,True
0.7,0.11,0.11,18.87455114674936,51.54591085108245,0.751474532311765,54.8928921305755,10.517797750574797,35.818347704302326,0.7086813403095649,37.33065900554524,46.11177556806037,False,False,True
0.7,0.11,0.13,18.82516027391839,51.60956785395182,0.7508603165611916,54.93572747684673,10.082783371318591,36.385924091320646,0.699375739493688,37.75709194962301,46.34640971323487,False,False,True
0.7,0.11,0.15,18.73096856537709,51.5003957375637,0.7519132352303577,54.80091189499326,10.041596940865432,35.930630452650384,0.7068520359823189,37.307423843622935,46.0541678693081,False,False,True
0.7,0.11,0.17,18.752448247704866,51.2246180170127,0.7545630642308339,54.54920536792183,9.533674406974875,35.44512128170559,0.7147207786047473,36.70487120768885,45.62703828780534,False,False,True
0.7,0.11,0.19,18.547603054925776,51.464608191068685,0.7522579056626055,54.70483959708963,9.833073802256807,35.830828966562194,0.7084782791227442,37.15558699350155,45.93021329529559,False,False,True
0.7,0.11,0.21,18.651281257108536,51.41542889789091,0.7527311613674963,54.69384445516556,8.991647425939902,35.496435136679615,0.7138941840082125,36.6175727055319,45.65570858034873,False,False,True
0.7,0.13,0.11,18.820812612470387,51.46459293843312,0.7522580525099033,54.798059397321225,9.712103603320138,35.65009123876731,0.711411847125095,36.94934318406834,45.87370129069478,False,False,True
0.7,0.13,0.13,18.758752062740893,51.3761087318447,0.7531092165264993,54.693649790242695,10.200491328698416,36.26197502077529,0.7014204109824098,37.66936229556033,46.18150604290152,False,False,True
0.7,0.13,0.15,18.600822559533697,51.523484300559254,0.7516907417605307,54.778280680952676,9.759337855369788,36.241722158313735,0.7017538402923504,37.5327470400937,46.155513860523186,False,False,True
0.7,0.13,0.17,18.456071664437275,51.222924663886815,0.754579290980743,54.44643783026645,9.65785011543638,35.86831795092011,0.7078679348546892,37.1457978980198,45.79611786414313,False,False,True
0.7,0.13,0.19,18.36583165031716,50.94480186726397,0.757237155136717,54.15419290786794,9.610695333197306,35.38485984630235,0.7156899794972226,36.66679384852186,45.4104933781949,False,False,True
0.7,0.13,0.21,18.44266503609326,51.23465179410371,0.7544669034085889,54.452928645726594,9.659128244226752,36.36267976589649,0.6997597108405421,37.62370580093828,46.03831722333244,False,False,True
0.7,0.15,0.11,18.50132209590537,51.33166779626389,0.7535361586284023,54.564081940800875,10.124456958465627,36.311597235297675,0.7006026773696286,37.69664073206392,46.1303613364324,False,False,True
0.7,0.15,0.13,18.527989713572037,51.22247298409699,0.754583619163339,54.47043364461841,9.718696684996589,36.14607618022079,0.7033259733059498,37.429826188232404,45.95012991642541,False,False,True
0.7,0.15,0.15,18.48930319259619,51.352468648729264,0.7533363717542787,54.579578313380814,9.398780953171922,35.8535534911962,0.7081083857395758,37.06500210915649,45.82229021126865,False,False,True
0.7,0.15,0.17,18.59961358608264,51.556115896269525,0.7513761165637278,54.808564220030114,9.432023976995243,36.17568106132731,0.7028398018037767,37.385063548875884,46.096813884453,False,False,True
0.7,0.15,0.19,18.523005365369222,51.28148444617284,0.7540178236870377,54.524236581254065,9.676213484177017,35.74642887332313,0.7098500298207417,37.03290813029567,45.77857235577487,False,False,True
0.7,0.15,0.21,18.584191557326687,51.402632268613004,0.7528542300246203,54.65896797399003,9.681771841447464,35.91993689856764,0.7070265014500596,37.20186249083406,45.930415232412045,False,False,True
0.7,0.17,0.11,18.414369654672143,51.11592449508603,0.755603544476356,54.33163670244295,10.15867749312912,35.97094190551285,0.7061938872552582,37.37789975345309,45.85476822794802,False,False,True
0.7,0.17,0.13,18.38102997641486,51.151580709884804,0.7552624651771178,54.35390024748657,9.523838105684128,36.219959135820346,0.7021119242168218,37.451153948360215,45.9025270979234,False,False,True
0.7,0.17,0.15,18.420856512639514,51.23643473568515,0.7544498142406403,54.447223979587584,9.412627215753073,35.993282525932536,0.705828823189629,37.20368178143577,45.825452880511676,False,False,True
0.7,0.17,0.17,18.419705686269772,51.36742977005257,0.753192623960099,54.570123682744956,9.555852019391057,35.78473326419277,0.7092278713070449,37.038647958665074,45.804385820705015,False,False,True
0.7,0.17,0.19,18.503202561698455,51.40776577858378,0.7528048633454707,54.63631473100079,9.786787600446159,35.6878432793514,0.7108003165590862,37.00545053728968,45.820882634145235,False,False,True
0.7,0.17,0.21,18.279187032102932,51.24368032740569,0.7543803604544179,54.406281365775634,9.491465307642837,36.22028843393014,0.7021065076217431,37.443253169606955,45.924767267691294,False,False,True
0.7,0.19,0.11,18.670059513077387,51.50617301261785,0.7518575717408581,54.78555448863847,9.991950165238768,36.022174577030405,0.7053563672611141,37.38229700490154,46.08392574677001,False,False,True
0.7,0.19,0.13,18.42068589607606,51.52829758750035,0.7516443458479536,54.72190714099692,9.68868379945774,35.94409625204487,0.7066322674267529,37.22698818252883,45.97444766176287,False,False,True
0.7,0.19,0.15,18.234898575153228,51.28003692315279,0.7540317101741882,54.42567145094343,9.763770917486461,35.9465423459069,0.7065923371181747,37.24896145069326,45.83731645081835,False,False,True
0.7,0.19,0.17,17.90686098117588,50.858218568697325,0.7580616296855645,53.91858739044031,9.04506325464901,35.855874905012634,0.7080705862415277,36.97914188410159,45.448864637270944,False,False,True
0.7,0.19,0.19,17.981227267162787,51.20522099607152,0.7547489062810402,54.27061075103063,8.855584483707666,35.70090459282325,0.7105885907386353,36.782821605933826,45.52671617848223,False,False,True
0.7,0.19,0.21,18.171585128289315,51.53861342584263,0.7515448955128055,54.64828615732712,8.847291121578783,35.78381585827448,0.7092427800476175,36.86130813697288,45.75479714715,False,False,True
0.7,0.21,0.11,18.132601978878284,51.21950937773823,0.7546120167187096,54.33442182834593,9.951309301758604,36.3332826353968,0.7002449685432378,37.671421314876,46.00292157161097,False,False,True
0.7,0.21,0.13,18.22334110430509,50.9247206442245,0.7574285000376875,54.087127245733434,9.627116140793108,35.518620759970105,0.713536434311068,36.80018730766052,45.44365727669698,False,False,True
0.7,0.21,0.15,18.186677622249412,51.11423842561712,0.7556196671469304,54.25330047809498,9.995859241462506,35.76031843963276,0.7096245057427634,37.131086395082356,45.69219343658867,False,False,True
0.7,0.21,0.17,18.02496148639908,51.28604965237377,0.75397402583863,54.361366111715014,9.432112524735757,35.81875850336076,0.7086746580293903,37.039819213939964,45.70059266282749,False,False,True
0.7,0.21,0.19,18.10256589574469,51.12953454510699,0.755473381876798,54.23958144020903,9.484448071078399,35.95052943732243,0.7065272455696994,37.18057721494879,45.71007932757891,False,False,True
0.7,0.21,0.21,18.333574106119084,51.295492213071014,0.7538834230696231,54.473364692166655,9.526514467296021,36.009485796848644,0.7055639066370856,37.24832271725862,45.860843704712636,False,False,True
0.72,0.09,0.11,16.424098547500492,49.325079880028525,0.7724284027802593,51.9876381293592,7.900613839731784,35.797483692315865,0.7090206248479294,36.658962584150984,44.32330035675509,False,False,True
0.72,0.09,0.13,16.08792192674036,48.96319983189125,0.7757553724102383,51.53849211704402,7.434602769341703,34.86776155075334,0.7239388188825946,35.65156537794794,43.59502874749598,False,False,True
