tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,nmae_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,nmae_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.72,0.09,0.13,16.291841965577188,49.54125699363211,25.98062137320084,0.7704292746960971,30.666215964297947,7.999275242308649,35.767734290372765,23.43912077402522,0.7095040591305232,24.766525534712223,27.716370749505085,False,False,True
0.72,0.09,0.15,16.499651460277295,49.51756756821998,25.926718925723673,0.7706487724904127,30.731632767624124,7.972010637832316,35.25441107187458,23.033357952835313,0.7177823732683783,24.373931406179704,27.552782086901914,False,False,True
0.72,0.09,0.17,16.488099443826883,49.16919268775008,25.953070011965483,0.7738645662477168,30.747670908794156,7.874011006965972,34.9973351836134,23.012553583556713,0.7218832401909614,24.322369781209442,27.535020345001797,False,False,True
0.72,0.09,0.19,16.08818042232431,49.33913916182121,25.96376651820624,0.7722986534031924,30.544176549928242,7.281458823300429,35.22698735138549,22.98269251805968,0.7182212657014514,24.108583491675656,27.32638002080195,False,False,True
0.72,0.09,0.21,16.210666963319824,49.742016310007955,26.12804888171371,0.7685648954559465,30.748344049084817,7.0685812771692875,35.41236480340259,22.783623779994873,0.7152478144468285,23.854944012097285,27.30164403059105,False,False,True
0.72,0.11,0.11,16.45677746585444,49.66061900657611,26.20867715362883,0.769321711585109,30.94705612338273,7.983793911162958,35.53321471402885,23.16838623916143,0.7133009806306434,24.50540932412449,27.72623272375361,False,False,True
0.72,0.11,0.13,16.386311464939627,49.65149688864918,26.126186469425416,0.7694064500086717,30.839727995901644,7.731843073542459,35.499952053517305,23.450612618337065,0.7138374875988736,24.692359739182404,27.766043867542024,False,False,True
0.72,0.11,0.15,16.207072235760794,49.53809373971199,26.035513048192744,0.7704585903556855,30.667851736595164,7.439585113589177,35.68130688813744,23.311855992952577,0.7109062433389453,24.47018709569865,27.569019416146908,False,False,True
0.72,0.11,0.17,16.287673811785996,49.57755538939643,26.05017392212201,0.7700927429921911,30.722953627083854,7.98709854770385,35.38360376206162,23.271411452960816,0.7157101638924328,24.603908921627248,27.663431274355553,False,False,True
0.72,0.11,0.19,16.220873113688203,49.63538570853592,26.058194036522742,0.769556074156842,30.69440015728345,7.174460176733649,35.31817338567868,22.884166958322723,0.7167605935038831,23.982451421902773,27.33842578959311,False,False,True
0.72,0.11,0.21,16.15092790329876,49.03095472181191,25.90731044941415,0.775134327112943,30.52934992527483,7.071311404180501,35.73728069566527,23.11899396376969,0.7099985203922634,24.176255435276005,27.352802680275417,False,False,True
0.72,0.13,0.11,15.979117405553817,48.99448216841833,25.619527221378767,0.7754687433982783,30.19424395654643,7.387139089596529,35.4827910145534,23.06512012834465,0.714114088482243,24.219198798969682,27.206721377758058,False,False,True
0.72,0.13,0.13,16.06706156409734,49.00421346653563,25.798622373423967,0.7753795416151931,30.392752156904542,7.9200536944081215,35.94988622331527,23.778429522318792,0.7065377468947511,25.062740494012015,27.727746325458277,False,False,True
0.72,0.13,0.15,16.194286910436674,49.15293999324395,25.850329751850314,0.774014037999879,30.50400755338449,7.4583532052932915,34.796630248618364,22.896054764847417,0.725064016531388,24.08020673353534,27.292107143459916,False,False,True
0.72,0.13,0.17,16.029456535965632,49.24495920151666,25.99986780388493,0.7731671094332255,30.54401091307269,7.313761069175877,34.95232889388109,23.117430987374945,0.7225980920517204,24.24678775493851,27.3953993340056,False,False,True
