tau,rho_floor,rho_hall,nmbe_jun,nmbe_nov,nmbe_combined,cvrmse_jun,cvrmse_nov,cvrmse_combined,r2_jun,r2_nov,r2_combined,gof,meets_ashrae,success
0.58,0.17,0.15,26.704523972977874,15.103301039087588,20.903912506032732,59.512504403094425,58.14122250407077,58.8268634535826,0.6687171784869237,0.23241668563219198,0.45056693205955783,62.43054878700269,False,True
0.58,0.17,0.17,26.68666324148698,15.42170837784612,21.05418580966655,59.453988422426576,57.69259506681828,58.57329174462242,0.6693683293334765,0.24421658782689504,0.45679245858018575,62.24234286969456,False,True
0.58,0.17,0.19,26.761079765633276,15.013625585802103,20.88735267571769,59.95147572459314,57.67343656142492,58.81245614300903,0.6638119912317342,0.2447184642414285,0.45426522773658135,62.411429236744546,False,True
0.58,0.17,0.21,26.36511912202049,14.199181652547265,20.282150387283878,59.51558974345429,56.98383127426562,58.249710508859955,0.6686828278318749,0.2626723880746832,0.46567760795327906,61.6797730110803,False,True
0.58,0.17,0.23,26.454341340641214,14.32948610368644,20.391913722163828,59.51944439593551,57.99660525573517,58.758024825835335,0.6686399095335698,0.2362304249105297,0.45243516722204974,62.19594541998421,False,True
0.58,0.17,0.25,26.514901277119506,14.132880650550325,20.323890963834916,59.82318078155765,57.980202057526554,58.901691419542104,0.6652493227050141,0.23666239819531998,0.45095586045016706,62.3094679482405,False,True
0.58,0.17,0.27,26.49119246175645,14.505061545879885,20.49812700381817,59.56827692410934,56.14014930374579,57.854213113927564,0.6680959599385039,0.28434397199844264,0.47621996596847327,61.37819796716427,False,True
0.58,0.17,0.29,26.27928828800899,14.2626344309101,20.270961359459545,59.44542182324848,56.02525693835211,57.7353393808003,0.6694636025024217,0.2872701942704118,0.4783668983864167,61.19053266521621,False,True
0.58,0.17,0.31,26.068917596793266,13.54760692944569,19.808262263119477,59.50785324046388,56.76237955283737,58.13511639665063,0.6687689588676327,0.268392087485944,0.46858052317678833,61.41709055577804,False,True
0.58,0.17,0.33,26.32294215458821,13.80725011823653,20.065096136412368,59.84727185024511,58.32231990172795,59.08479587598653,0.6649796571586373,0.22762752490599059,0.44630359103231393,62.39888770379217,False,True
0.58,0.17,0.35,26.123006189271774,13.23681960326899,19.67991289627038,59.19548987609113,58.567327635000545,58.881408755545834,0.6722371698202949,0.22112453546881672,0.4466808526445558,62.083164132012946,False,True
0.58,0.19,0.11,26.622319238130153,15.062203175704116,20.842261206917136,59.5478895944828,57.9734337742681,58.76066168437545,0.6683231103438123,0.236840603285136,0.45258185681447416,62.34753574763795,False,True
0.58,0.19,0.13,26.60428437017596,14.889000011598297,20.74664219088713,59.77014070382004,60.07895136584702,59.924546034833526,0.6658426489276611,0.1804001039386296,0.42312137643314535,63.41430737363281,False,True
0.58,0.19,0.15,26.489860271914246,14.97544537735252,20.732652824633384,59.44931559379506,56.90441415616414,58.1768648749796,0.6694202997550938,0.264726150635647,0.46707322519537037,61.7607520989537,False,True
0.58,0.19,0.17,26.550801971013684,14.80904112135726,20.679921546185472,59.6317239890095,57.4431717665409,58.5374478777752,0.6673885514642728,0.2507374419724927,0.45906299671838274,62.082944189202514,False,True
0.58,0.19,0.19,26.54699592827537,14.855554749446076,20.70127533886072,59.474921046254956,57.73475696300699,58.604839004630975,0.6691354700435959,0.24311152727845853,0.4561234986610272,62.15359969795828,False,True
0.58,0.19,0.21,26.45298504147477,14.89119009345045,20.67208756746261,59.561472934800584,57.20495536608331,58.383214150441944,0.6681717768895697,0.2569389288590782,0.462555352874324,61.934924710805994,False,True
0.58,0.19,0.23,26.522215414650713,14.408163612296986,20.46518951347385,59.58337963002808,59.58424962852481,59.583814629276446,0.6679276393218001,0.193842022464065,0.43088483089293256,63.00043609054129,False,True
0.58,0.19,0.25,26.151721266294274,13.950258472306853,20.050989869300565,59.2230277845495,58.790897480501535,59.006962632525514,0.6719321465061832,0.21516676226789677,0.44354945438703997,62.32065334907085,False,True
0.58,0.19,0.27,26.212467427360547,14.046574230251139,20.129520828805845,59.0065294565176,58.02739551712549,58.51696248682154,0.6743263610965871,0.23541924269645675,0.4548728018965219,61.88240870781783,False,True
0.58,0.19,0.29,26.02191671334544,14.45319745167231,20.237557082508875,59.07271095222754,57.254998854665594,58.16385490344656,0.673595402813353,0.2556382851276212,0.4646168439704871,61.5840298608088,False,True
0.58,0.19,0.31,25.94327532540805,13.474638025362976,19.70895667538551,59.30527622708709,57.59943792683845,58.45235707696277,0.6710202780004053,0.24665536797543675,0.45883782298792103,61.68566301082434,False,True
0.58,0.19,0.33,25.952248345068263,13.563212282001938,19.7577303135351,59.246556056306524,58.19907402431653,58.72281504031153,0.6716714235007438,0.23088840837768876,0.4512799159392163,61.957541214940264,False,True
0.58,0.19,0.35,25.87104478115701,13.316598139763144,19.593821460460077,58.98586252914825,56.25265215130872,57.619257340228486,0.6745544543195023,0.2814727999424186,0.47801362713096046,60.859647188131646,False,True
0.58,0.21,0.11,26.694485468240014,15.10958730979148,20.90203638901575,59.523166007845795,58.94173131961655,59.23244866373118,0.6685984698922508,0.21113446228911148,0.43986646609068114,62.812244824630234,False,True
0.58,0.21,0.13,26.37987907769363,14.893980162493111,20.63692962009337,59.3020144156586,57.15783098700087,58.229922701329734,0.6710564650102504,0.2581626644074664,0.4646095647088584,61.77869181155848,False,True
0.58,0.21,0.15,26.544263973206505,14.85111615285542,20.69769006303096,59.53005661158494,58.714430897681815,59.122243754633374,0.6685217371190529,0.217207026660862,0.44286438188995747,62.640514689197566,False,True
0.58,0.21,0.17,26.25212578436247,14.869818549668345,20.560972167015407,59.106844583876395,59.31355366061254,59.21019912224447,0.6732180849965106,0.20115026286529714,0.43718417393090386,62.67855499729251,False,True
0.58,0.21,0.19,26.524846480092922,14.794916335994197,20.65988140804356,59.682804023963634,57.377512773032414,58.530158398498024,0.6668184830529514,0.25244931504242507,0.45963389904768825,62.06939778947185,False,True
0.58,0.21,0.21,26.150678051004324,14.175030056756436,20.16285405388038,59.32800260382851,57.23669747158292,58.28235003770571,0.6707680930308255,0.2561140749072979,0.4634410839690617,61.671492681106194,False,True
0.58,0.21,0.23,26.245832478379928,14.48641897975783,20.36612572906888,59.309133338598365,57.27384469003152,58.29148901431494,0.6709774840765819,0.2551481819983711,0.4630628330374765,61.746876590789924,False,True
